Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I need a loan to develop and launch my mobile app startup.,198448,548,151095,3.56,employed,Rejected
I need a loan to install a security system at home.,24964,751,14722,102.38,employed,Rejected
I need money to invest in a franchise business opportunity.,73448,720,51788,51.58,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,56197,831,37758,33.08,unemployed,Rejected
I need a loan to build a website and market my freelance services.,157750,685,23699,16.2,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,109738,662,85319,44.92,unemployed,Rejected
I need a loan to build a website and market my freelance services.,70400,552,37574,33.07,unemployed,Rejected
I need a loan to pay off overdue electricity and water bills.,98017,595,65094,18.96,unemployed,Rejected
I need a loan to build a website and market my freelance services.,111436,580,16974,21.41,unemployed,Rejected
I need financial support to open a daycare center in my neighborhood.,110474,449,6513,21.76,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,110797,752,34612,43.31,unemployed,Rejected
I need a loan to repair my car after an accident.,72970,577,46624,57.33,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,48633,545,4326,42.95,employed,Rejected
I want to invest in a rental property as a source of passive income.,33760,402,11823,95.04,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,198570,440,145271,2.69,employed,Rejected
I need money to invest in a franchise business opportunity.,191151,787,53286,18.98,unemployed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,94819,360,31437,11.46,employed,Rejected
I need money to cover adoption fees and related expenses.,129546,480,53034,5.7,unemployed,Rejected
I need financial support for medical treatment abroad.,95882,338,40110,5.85,employed,Rejected
I need money to buy new tools and materials for my woodworking business.,94596,765,72211,49.72,unemployed,Rejected
I need money to cover unexpected legal expenses related to a dispute.,152176,779,26272,15.04,employed,Approved
I need money to buy new tools and materials for my woodworking business.,62596,769,17860,75.86,employed,Rejected
I want to consolidate my credit card debts into one manageable payment.,108371,602,26318,38.95,employed,Approved
I need a loan to pay for legal fees related to my business license.,132119,827,12368,20.05,unemployed,Rejected
I need money to refinance my home loan at a lower interest rate.,68439,443,22207,53.03,employed,Rejected
I need a loan to start a small business.,88363,692,59554,23.13,unemployed,Rejected
I need money to buy new tools and materials for my woodworking business.,99153,311,48127,22.33,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,195056,421,81427,18.2,employed,Rejected
I need a loan to pay for legal fees related to my business license.,199850,814,31779,12.7,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,181120,526,36014,10.69,unemployed,Rejected
I need financial help to pay off my high-interest payday loans.,139269,682,93004,23.16,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,194088,523,22461,10.93,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,114839,379,15707,36.55,employed,Rejected
I want to start a local transportation service and need funds for a van.,72994,849,11783,20.3,unemployed,Rejected
I need a loan to upgrade my small music studio with better equipment.,135825,419,27922,36.51,unemployed,Rejected
I need funds to enroll in a professional certification program.,153791,756,60432,5.62,employed,Approved
I need money to publish and market my self-written book.,128901,767,8567,32.55,unemployed,Rejected
I need a loan to cover hospital bills after an unexpected surgery.,25706,705,1098,84.32,employed,Rejected
I need money to purchase updated equipment for my photography business.,31872,733,23950,86.53,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,35795,370,2039,100.4,unemployed,Rejected
I need money to invest in a franchise business opportunity.,67181,438,48794,70.02,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,120264,759,50236,24.73,employed,Approved
I need money to launch my own tech startup focused on AI solutions.,54862,656,12696,23.28,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,53383,528,2489,9.79,unemployed,Rejected
I want to start a small roadside food stall and need funds for equipment.,196553,734,100425,20.28,employed,Approved
I need money to pay for a vocational training course in plumbing.,140750,654,37129,10.78,employed,Approved
I need a loan to pay for an international vacation with my family.,28445,729,1512,159.25,employed,Rejected
I need money to cover funeral expenses for a loved one.,37639,403,2100,116.7,unemployed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",84155,345,58535,37.27,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,76955,357,34023,18.43,unemployed,Rejected
I want to invest in a rental property as a source of passive income.,171023,626,85060,25.05,employed,Approved
I need money to purchase a food truck and start my own business.,57554,833,28103,33.86,unemployed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,35979,479,23241,127.92,unemployed,Rejected
I need financial support to pay for my son's football training program.,32290,652,22998,146.05,unemployed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,103554,726,20558,30.67,unemployed,Rejected
I need money to open a small bookstore and café.,68202,850,16792,52.83,employed,Rejected
I need money to purchase a food truck and start my own business.,57840,774,37856,15.17,unemployed,Rejected
I want to buy a car for my rideshare business on Uber.,166089,842,102821,8.3,employed,Rejected
I need financial help to build my dream home in the countryside.,73303,638,6181,64.64,unemployed,Rejected
I need a loan to pay for my son's medical treatment and therapy.,44238,848,4377,39.52,unemployed,Rejected
I need money to open a small bookstore and café.,196599,340,50325,4.97,employed,Rejected
I need a loan to build a website and market my freelance services.,74759,640,2004,33.27,employed,Approved
I need a loan to install a security system at home.,50753,790,14402,41.18,unemployed,Rejected
I need a loan to finance my MBA and career advancement.,164724,629,50894,14.3,unemployed,Rejected
I need financial help to install a swimming pool in my backyard.,190058,667,69566,13.27,unemployed,Rejected
I need money to publish and market my self-written book.,150358,777,106226,7.62,unemployed,Rejected
I need funds to launch my handmade jewelry brand online.,73248,679,28127,34.82,employed,Approved
I need a loan to pay off overdue electricity and water bills.,58252,316,37261,37.92,unemployed,Rejected
I need financial support to renovate my rental apartment.,59953,500,16074,44.4,unemployed,Rejected
I need money to pay for a vocational training course in plumbing.,150888,645,101055,14.49,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,140803,472,23185,19.94,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,148009,488,85123,27.38,employed,Rejected
I want to start a mobile pet grooming service and need funds for supplies.,28866,376,2589,169.03,employed,Rejected
I need money to invest in a franchise business opportunity.,56042,536,10897,16.87,employed,Rejected
I need a loan to repair my car after an accident.,152574,766,8923,19.31,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,24123,306,19076,165.32,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,24384,842,18555,94.34,unemployed,Rejected
I need money to cover unexpected medical expenses from surgery.,151652,740,15026,11.04,employed,Approved
I want to start a mobile pet grooming service and need funds for supplies.,59032,546,41617,29.78,unemployed,Rejected
I need financial help to cover maternity and delivery expenses.,90077,706,49896,11.3,unemployed,Rejected
I need financial help to cover unexpected veterinary bills for my pet.,168111,549,79636,11.78,employed,Rejected
I need funds to pay for my daughter's college tuition.,44510,715,25718,67.07,unemployed,Rejected
I need a loan to relocate to a new city after getting a job offer.,186919,309,22675,8.68,unemployed,Rejected
I need financial assistance to launch my own YouTube content creation business.,189058,639,25998,22.26,employed,Approved
